fid1	Id1	fid2	Id2	ibd
tsk_0	tsk_0	tsk_979	tsk_979	0.048464787886472384
tsk_0	tsk_0	tsk_982	tsk_982	0.03836929175369872
tsk_0	tsk_0	tsk_983	tsk_983	0.1924504000694032
tsk_0	tsk_0	tsk_987	tsk_987	0.16255163531288164
tsk_0	tsk_0	tsk_996	tsk_996	0.048464787886472384
tsk_0	tsk_0	tsk_998	tsk_998	0.0922735553790816
tsk_1	tsk_1	tsk_21	tsk_21	0.07296545188823415
tsk_1	tsk_1	tsk_41	tsk_41	0.07296545188823415
tsk_1	tsk_1	tsk_65	tsk_65	0.06502412428511369
tsk_1	tsk_1	tsk_72	tsk_72	0.09109770502305654
tsk_1	tsk_1	tsk_80	tsk_80	0.048661652730415283
tsk_1	tsk_1	tsk_89	tsk_89	0.07381964510941014
tsk_1	tsk_1	tsk_96	tsk_96	0.06292868153941635
tsk_1	tsk_1	tsk_131	tsk_131	0.07296545188823415
tsk_1	tsk_1	tsk_134	tsk_134	0.07645696667979099
tsk_1	tsk_1	tsk_136	tsk_136	0.0754319348143798
tsk_1	tsk_1	tsk_145	tsk_145	0.07296545188823415
tsk_1	tsk_1	tsk_159	tsk_159	0.06906686063971064
tsk_1	tsk_1	tsk_176	tsk_176	0.07296545188823415
tsk_1	tsk_1	tsk_179	tsk_179	0.07296545188823415
tsk_1	tsk_1	tsk_186	tsk_186	0.07296545188823415
tsk_1	tsk_1	tsk_194	tsk_194	0.06292868153941635
tsk_1	tsk_1	tsk_206	tsk_206	0.07296545188823415
tsk_1	tsk_1	tsk_208	tsk_208	0.0536526770282084
tsk_1	tsk_1	tsk_222	tsk_222	0.060284019246041015
tsk_1	tsk_1	tsk_223	tsk_223	0.07237085332568119
tsk_1	tsk_1	tsk_238	tsk_238	0.11487897817135917
tsk_1	tsk_1	tsk_239	tsk_239	0.07296545188823415
tsk_1	tsk_1	tsk_250	tsk_250	0.05770876015188623
tsk_1	tsk_1	tsk_269	tsk_269	0.060097831817362814
tsk_1	tsk_1	tsk_271	tsk_271	0.10212747499149144
tsk_1	tsk_1	tsk_300	tsk_300	0.09109770502305654
tsk_1	tsk_1	tsk_303	tsk_303	0.04069296425067902
tsk_1	tsk_1	tsk_309	tsk_309	0.08892752037050632
tsk_1	tsk_1	tsk_312	tsk_312	0.06292868153941635
tsk_1	tsk_1	tsk_322	tsk_322	0.07296545188823415
tsk_1	tsk_1	tsk_338	tsk_338	0.060097831817362814
tsk_1	tsk_1	tsk_339	tsk_339	0.05240542145760065
tsk_1	tsk_1	tsk_345	tsk_345	0.057601985999239234
tsk_1	tsk_1	tsk_373	tsk_373	0.07142723675166335
tsk_1	tsk_1	tsk_396	tsk_396	0.05811383459349078
tsk_1	tsk_1	tsk_401	tsk_401	0.3928207729113975
tsk_1	tsk_1	tsk_404	tsk_404	0.05811383459349078
tsk_1	tsk_1	tsk_413	tsk_413	0.10341543820779585
tsk_1	tsk_1	tsk_429	tsk_429	0.09479609473536693
tsk_1	tsk_1	tsk_436	tsk_436	0.06195103070424227
tsk_1	tsk_1	tsk_445	tsk_445	0.060284019246041015
tsk_1	tsk_1	tsk_467	tsk_467	0.09479609473536693
tsk_1	tsk_1	tsk_486	tsk_486	0.05770876015188623
tsk_1	tsk_1	tsk_490	tsk_490	0.03647471788266855
tsk_1	tsk_1	tsk_496	tsk_496	0.0687044958591649
tsk_1	tsk_1	tsk_501	tsk_501	0.07296545188823415
tsk_1	tsk_1	tsk_502	tsk_502	0.06292868153941635
