p1	p2	dcifer
SPT35324	SPT35419	0
SPT35324	SPT35423	0
SPT35324	SPT35436	0.002
SPT35324	SPT35444	0
SPT35324	SPT35316	0.005
SPT35324	SPT35331	0
SPT35324	SPT35339	0
SPT35324	SPT35364	0.036
SPT35324	SPT35372	0
SPT35324	SPT35405	0
SPT35324	SPT35424	0
SPT35324	SPT35427	0
SPT35324	SPT35437	0
SPT35324	SPT35440	0
SPT35324	SPT35467	0
SPT35324	SPT35468	0
SPT35324	SPT35470	0.055
SPT35324	SPT35472	0.004
SPT35324	SPT35475	0
SPT35324	SPT35476	0
SPT35324	SPT35485	0.001
SPT35324	SPT35499	0
SPT35324	SPT35780	0
SPT35374	SPT35459	0
SPT35374	SPT35471	0
SPT35374	SPT35509	0
SPT35374	SPT35551	0
SPT35374	SPT35556	0.008
SPT35374	SPT35564	0.001
SPT35374	SPT35566	0
SPT35374	SPT35587	0
SPT35374	SPT35673	0
SPT35374	SPT35681	0
SPT35374	SPT35752	0
SPT35374	SPT35334	0
SPT35374	SPT35469	0
SPT35374	SPT35332	0
SPT35374	SPT35351	0
SPT35374	SPT35355	0.003
SPT35374	SPT35420	0.004
SPT35374	SPT35502	0.006
SPT35374	SPT35412	0.001
SPT35374	SPT35446	0.009
SPT35374	SPT35450	0
SPT35374	SPT35474	0
SPT35374	SPT35503	0
SPT35374	SPT35571	0.003
SPT35374	SPT35575	0
SPT35374	SPT35592	0
SPT35374	SPT35766	0.01
SPT35374	SPT35500	0
SPT35374	SPT35508	0.005
SPT35374	SPT35313	0
SPT35374	SPT35328	0
SPT35374	SPT35330	0
SPT35374	SPT35362	0.009
SPT35374	SPT35430	0.006
SPT35374	SPT35431	0.004
SPT35374	SPT35453	0
SPT35374	SPT35317	0.015
SPT35374	SPT35318	0
SPT35374	SPT35320	0.016
SPT35374	SPT35321	0
SPT35374	SPT35322	0
SPT35374	SPT35333	0
SPT35374	SPT35341	0.017
SPT35374	SPT35342	0.014
SPT35374	SPT35346	0
SPT35374	SPT35347	0.005
SPT35374	SPT35352	0
SPT35374	SPT35361	0.006
SPT35374	SPT35363	0.005
SPT35374	SPT35389	0
SPT35374	SPT35425	0.009
SPT35374	SPT35435	0
SPT35374	SPT35443	0.011
SPT35374	SPT35447	0.008
SPT35374	SPT35448	0
SPT35374	SPT35449	0
SPT35374	SPT35458	0
SPT35374	SPT35461	0
SPT35374	SPT35462	0
SPT35374	SPT35463	0.011
SPT35374	SPT35487	0
SPT35374	SPT35501	0
SPT35374	SPT35510	0.011
SPT35374	SPT35511	0
SPT35374	SPT35514	0
SPT35374	SPT35515	0
SPT35374	SPT35516	0
SPT35374	SPT35517	0
SPT35374	SPT35518	0.018
SPT35374	SPT35519	0
SPT35374	SPT35520	0.001
SPT35374	SPT35521	0
SPT35374	SPT35522	0
SPT35374	SPT35523	0
SPT35374	SPT35524	0.002
SPT35374	SPT35525	0
SPT35374	SPT35526	0
SPT35374	SPT35529	0
SPT35374	SPT35532	0
SPT35374	SPT35537	0
SPT35374	SPT35538	0
SPT35374	SPT35541	0.01
SPT35374	SPT35543	0
SPT35374	SPT35544	0
SPT35374	SPT35546	0
SPT35374	SPT35547	0
SPT35374	SPT35552	0.021
SPT35374	SPT35553	0.005
SPT35374	SPT35557	0.016
SPT35374	SPT35561	0
SPT35374	SPT35563	0
SPT35374	SPT35567	0
SPT35374	SPT35576	0
SPT35374	SPT35577	0
SPT35374	SPT35580	0.008
SPT35374	SPT35583	0
SPT35374	SPT35584	0
SPT35374	SPT35585	0
SPT35374	SPT35302	0
SPT35374	SPT35303	0.003
SPT35374	SPT35304	0
SPT35374	SPT35306	0.003
SPT35374	SPT35308	0
SPT35374	SPT35310	0.006
SPT35374	SPT35315	0.007
SPT35374	SPT35325	0
SPT35374	SPT35336	0
SPT35374	SPT35337	0.016
SPT35374	SPT35338	0.022
SPT35374	SPT35340	0
SPT35374	SPT35348	0.015
SPT35374	SPT35349	0.018
SPT35374	SPT35354	0
SPT35374	SPT35356	0.018
SPT35374	SPT35357	0
SPT35374	SPT35360	0.005
SPT35374	SPT35365	0
SPT35374	SPT35366	0.006
SPT35374	SPT35368	0.006
SPT35374	SPT35369	0.014
SPT35374	SPT35370	0
SPT35374	SPT35373	0.001
SPT35374	SPT35377	0
SPT35374	SPT35378	0.011
SPT35374	SPT35379	0.002
SPT35374	SPT35382	0
SPT35374	SPT35384	0
SPT35374	SPT35390	0
SPT35374	SPT35407	0
SPT35374	SPT35410	0.002
SPT35374	SPT35414	0
SPT35374	SPT35417	0
SPT35374	SPT35418	0
SPT35374	SPT35419	0
SPT35374	SPT35423	0.017
SPT35374	SPT35436	0.003
SPT35374	SPT35444	0.008
SPT35374	SPT35316	0.001
SPT35374	SPT35331	0.007
SPT35374	SPT35339	0
SPT35374	SPT35364	0.014
SPT35374	SPT35372	0.005
SPT35374	SPT35405	0
SPT35374	SPT35424	0.007
SPT35374	SPT35427	0.025
SPT35374	SPT35437	0
SPT35374	SPT35440	0.004
SPT35374	SPT35467	0
SPT35374	SPT35468	0
SPT35374	SPT35470	0
SPT35374	SPT35472	0.008
SPT35374	SPT35475	0
SPT35374	SPT35476	0
SPT35374	SPT35485	0.003
SPT35374	SPT35499	0
SPT35374	SPT35780	0.001
