p1	p2	hmm
SPT35446	SPT35459	0.24891
SPT35446	SPT35474	0.25475
SPT35446	SPT35514	0.24582
SPT35446	SPT35519	0.23024
SPT35446	SPT35526	0.26113
SPT35446	SPT35501	0.24095
SPT35446	SPT35681	0.24473
SPT35446	SPT35467	0.25928
SPT35446	SPT35469	0.25847
SPT35446	SPT35470	0.24956
SPT35446	SPT35468	0.25071
SPT35446	SPT35471	0.25327
SPT35446	SPT35379	0.23318
SPT35446	SPT35472	0.24622
SPT35446	SPT35529	0.26205
SPT35446	SPT35517	0.24971
SPT35446	SPT35516	0.26082
SPT35446	SPT35360	0.24221
SPT35446	SPT35515	0.23825
SPT35446	SPT35518	0.23465
SPT35446	SPT35475	0.2603
SPT35446	SPT35520	0.23888
SPT35446	SPT35324	0.23233
SPT35446	SPT35476	0.24926
SPT35446	SPT35485	0.23211
SPT35446	SPT35389	0.23304
SPT35446	SPT35487	0.26023
SPT35446	SPT35369	0.24835
SPT35446	SPT35370	0.25258
SPT35446	SPT35382	0.23581
SPT35446	SPT35521	0.24133
SPT35446	SPT35553	0.24674
SPT35446	SPT35532	0.24865
SPT35446	SPT35384	0.23785
SPT35446	SPT35522	0.24003
SPT35446	SPT35361	0.25105
SPT35446	SPT35342	0.22867
SPT35446	SPT35556	0.24513
SPT35446	SPT35557	0.24414
SPT35446	SPT35328	0.22586
SPT35446	SPT35592	0.24767
SPT35446	SPT35435	0.24798
SPT35446	SPT35304	0.24522
SPT35446	SPT35390	0.23947
SPT35446	SPT35436	0.23432
SPT35446	SPT35580	0.23728
SPT35446	SPT35538	0.24758
SPT35446	SPT35537	0.24961
SPT35446	SPT35320	0.25796
SPT35446	SPT35541	0.24427
SPT35446	SPT35673	0.24253
SPT35446	SPT35502	0.22526
SPT35446	SPT35330	0.24986
SPT35446	SPT35546	0.24603
SPT35446	SPT35547	0.24589
SPT35446	SPT35544	0.2462
SPT35446	SPT35362	0.24053
SPT35446	SPT35499	0.2393
SPT35446	SPT35336	0.23882
SPT35446	SPT35577	0.24317
SPT35446	SPT35325	0.23843
SPT35446	SPT35331	0.23169
SPT35446	SPT35337	0.23787
SPT35446	SPT35306	0.24659
SPT35446	SPT35407	0.24224
SPT35446	SPT35346	0.23892
SPT35446	SPT35405	0.24635
SPT35446	SPT35410	0.23592
SPT35446	SPT35575	0.23927
SPT35446	SPT35576	0.24779
SPT35446	SPT35766	0.24185
SPT35446	SPT35347	0.24247
SPT35446	SPT35412	0.24257
SPT35446	SPT35414	0.24365
SPT35446	SPT35348	0.23993
SPT35446	SPT35417	0.24431
SPT35446	SPT35571	0.23866
SPT35446	SPT35349	0.24512
SPT35446	SPT35351	0.2388
SPT35446	SPT35418	0.24817
SPT35446	SPT35419	0.25386
SPT35446	SPT35566	0.2592
SPT35446	SPT35567	0.22753
SPT35446	SPT35420	0.23857
SPT35446	SPT35423	0.23471
SPT35446	SPT35564	0.23858
SPT35446	SPT35352	0.24435
SPT35446	SPT35424	0.23898
SPT35446	SPT35357	0.24097
SPT35446	SPT35437	0.24774
SPT35446	SPT35563	0.22547
SPT35446	SPT35308	0.24486
SPT35446	SPT35425	0.25205
SPT35446	SPT35440	0.25057
SPT35446	SPT35354	0.2385
SPT35446	SPT35309	0.23382
SPT35446	SPT35310	0.23321
SPT35446	SPT35355	0.23807
SPT35446	SPT35332	0.2333
SPT35446	SPT35333	0.24054
SPT35446	SPT35561	0.25858
SPT35446	SPT35363	0.24446
SPT35446	SPT35427	0.24961
SPT35446	SPT35752	0.24129
SPT35446	SPT35430	0.2356
SPT35446	SPT35431	0.23237
SPT35446	SPT35313	0.24651
SPT35446	SPT35780	0.24604
SPT35446	SPT35315	0.24101
SPT35446	SPT35316	0.24204
SPT35446	SPT35317	0.23248
SPT35446	SPT35334	0.23822
SPT35446	SPT35543	0.24659
SPT35503	SPT35302	0.2334
SPT35503	SPT35508	0.23564
SPT35503	SPT35365	0.23406
SPT35503	SPT35449	0.23818
SPT35503	SPT35523	0.23207
SPT35503	SPT35338	0.23418
SPT35503	SPT35339	0.2276
SPT35503	SPT35372	0.21553
SPT35503	SPT35373	0.22994
SPT35503	SPT35587	0.24233
SPT35503	SPT35303	0.22942
SPT35503	SPT35356	0.23596
SPT35503	SPT35448	0.24061
SPT35503	SPT35364	0.23827
SPT35503	SPT35366	0.22569
SPT35503	SPT35524	0.21985
SPT35503	SPT35321	0.24452
SPT35503	SPT35374	0.22882
SPT35503	SPT35318	0.23572
SPT35503	SPT35453	0.24028
SPT35503	SPT35509	0.22935
SPT35503	SPT35450	0.23148
SPT35503	SPT35525	0.23854
SPT35503	SPT35510	0.2315
SPT35503	SPT35340	0.22361
SPT35503	SPT35583	0.23166
SPT35503	SPT35584	0.22653
SPT35503	SPT35585	0.23482
SPT35503	SPT35458	0.23468
SPT35503	SPT35500	0.50901
SPT35503	SPT35322	0.23028
SPT35503	SPT35377	0.22367
SPT35503	SPT35511	0.23658
SPT35503	SPT35323	0.23619
SPT35503	SPT35461	0.21807000000000001
SPT35503	SPT35462	0.23145
SPT35503	SPT35463	0.23582
SPT35503	SPT35341	0.24182
SPT35503	SPT35368	0.24414
SPT35503	SPT35378	0.23576
SPT35503	SPT35552	0.24849
SPT35503	SPT35551	0.23187
SPT35503	SPT35459	0.22966
SPT35503	SPT35474	0.23725
SPT35503	SPT35514	0.22935
SPT35503	SPT35519	0.23121
SPT35503	SPT35526	0.2385
SPT35503	SPT35501	0.41832
SPT35503	SPT35681	0.23507
SPT35503	SPT35467	0.23639
SPT35503	SPT35469	0.23699
SPT35503	SPT35470	0.23022
SPT35503	SPT35468	0.23975
SPT35503	SPT35471	0.23157
SPT35503	SPT35379	0.24538
SPT35503	SPT35472	0.23713
SPT35503	SPT35529	0.2384
SPT35503	SPT35517	0.23456
SPT35503	SPT35516	0.23493
SPT35503	SPT35360	0.22702
SPT35503	SPT35515	0.22602
SPT35503	SPT35518	0.22839
SPT35503	SPT35475	0.23515
SPT35503	SPT35520	0.2379
SPT35503	SPT35324	0.23727
SPT35503	SPT35476	0.24287
SPT35503	SPT35485	0.22377
SPT35503	SPT35389	0.22359
SPT35503	SPT35487	0.23044
SPT35503	SPT35369	0.227
SPT35503	SPT35370	0.23776
SPT35503	SPT35382	0.23847
SPT35503	SPT35521	0.23291
SPT35503	SPT35553	0.22329
SPT35503	SPT35532	0.23578
SPT35503	SPT35384	0.24333
SPT35503	SPT35522	0.22479
SPT35503	SPT35361	0.24328
SPT35503	SPT35342	0.22949
SPT35503	SPT35556	0.23547
SPT35503	SPT35557	0.23792
SPT35503	SPT35328	0.22893
SPT35503	SPT35592	0.22497
SPT35503	SPT35435	0.23278
SPT35503	SPT35304	0.22105
SPT35503	SPT35390	0.23186
SPT35503	SPT35436	0.22796
SPT35503	SPT35580	0.23942
SPT35503	SPT35538	0.24526
SPT35503	SPT35537	0.24609
SPT35503	SPT35320	0.23801
SPT35503	SPT35541	0.239
SPT35503	SPT35673	0.22738
SPT35503	SPT35502	0.21872
SPT35503	SPT35330	0.23856
SPT35503	SPT35546	0.23638
SPT35503	SPT35547	0.22757
SPT35503	SPT35544	0.23112
SPT35503	SPT35362	0.24364
SPT35503	SPT35499	0.67511
SPT35503	SPT35336	0.24424
SPT35503	SPT35577	0.22711
SPT35503	SPT35325	0.23215
SPT35503	SPT35331	0.23911
SPT35503	SPT35337	0.22322
SPT35503	SPT35306	0.2295
SPT35503	SPT35407	0.23636
SPT35503	SPT35346	0.23426
SPT35503	SPT35405	0.23781
SPT35503	SPT35410	0.22212
SPT35503	SPT35575	0.23612
SPT35503	SPT35576	0.22367
SPT35503	SPT35766	0.24138
SPT35503	SPT35347	0.22734
SPT35503	SPT35412	0.22681
SPT35503	SPT35414	0.23668
SPT35503	SPT35348	0.23316
SPT35503	SPT35417	0.2337
SPT35503	SPT35571	0.22569
SPT35503	SPT35349	0.22488
SPT35503	SPT35351	0.21783
SPT35503	SPT35418	0.22538
SPT35503	SPT35419	0.235
SPT35503	SPT35566	0.24044
SPT35503	SPT35567	0.22433
SPT35503	SPT35420	0.22892
SPT35503	SPT35423	0.22292
SPT35503	SPT35564	0.23721
SPT35503	SPT35352	0.23568
SPT35503	SPT35424	0.23342
SPT35503	SPT35357	0.23074
SPT35503	SPT35437	0.22857
SPT35503	SPT35563	0.22012
SPT35503	SPT35308	0.21966
SPT35503	SPT35425	0.24211
SPT35503	SPT35440	0.2423
SPT35503	SPT35354	0.23052
SPT35503	SPT35309	0.22508
SPT35503	SPT35310	0.22702
SPT35503	SPT35355	0.23842
SPT35503	SPT35332	0.22771
SPT35503	SPT35333	0.23076
SPT35503	SPT35561	0.22156
SPT35503	SPT35363	0.23125
SPT35503	SPT35427	0.23876
SPT35503	SPT35752	0.23135
SPT35503	SPT35430	0.23775
SPT35503	SPT35431	0.23636
SPT35503	SPT35313	0.23724
SPT35503	SPT35780	0.24291
SPT35503	SPT35315	0.23681
SPT35503	SPT35316	0.22741
SPT35503	SPT35317	0.22706
SPT35503	SPT35334	0.2226
SPT35503	SPT35543	0.24408
SPT35302	SPT35508	0.38075
SPT35302	SPT35365	0.24542
SPT35302	SPT35449	0.24107
SPT35302	SPT35523	0.25389
SPT35302	SPT35338	0.25172
SPT35302	SPT35339	0.23621
SPT35302	SPT35372	0.2881
SPT35302	SPT35373	0.24231
SPT35302	SPT35587	0.49915
SPT35302	SPT35303	0.24238
SPT35302	SPT35356	0.23733
SPT35302	SPT35448	0.24484
SPT35302	SPT35364	0.24427
SPT35302	SPT35366	0.24813
SPT35302	SPT35524	0.23241
SPT35302	SPT35321	0.25092
SPT35302	SPT35374	0.24032
SPT35302	SPT35318	0.26374
SPT35302	SPT35453	0.24535
SPT35302	SPT35509	0.24324
SPT35302	SPT35450	0.23599
SPT35302	SPT35525	0.2463
SPT35302	SPT35510	0.23649
SPT35302	SPT35340	0.23742
SPT35302	SPT35583	0.2253
SPT35302	SPT35584	0.24196
SPT35302	SPT35585	0.59701
SPT35302	SPT35458	0.25117
SPT35302	SPT35500	0.23832
SPT35302	SPT35322	0.24544
SPT35302	SPT35377	0.23705
SPT35302	SPT35511	0.24496
SPT35302	SPT35323	0.25269
SPT35302	SPT35461	0.22615
SPT35302	SPT35462	0.47329
SPT35302	SPT35463	0.25477
