p1	p2	malecotf
SPT35503	SPT35463	0
SPT35503	SPT35341	0
SPT35503	SPT35368	0
SPT35503	SPT35378	0
SPT35503	SPT35552	0
SPT35503	SPT35551	0
SPT35503	SPT35459	0
SPT35503	SPT35474	0
SPT35503	SPT35514	0
SPT35503	SPT35519	0
SPT35503	SPT35526	0
SPT35503	SPT35501	0.35
SPT35503	SPT35681	0
SPT35503	SPT35467	0
SPT35503	SPT35469	0
SPT35503	SPT35470	0
SPT35503	SPT35468	0
SPT35503	SPT35471	0
SPT35503	SPT35379	0
SPT35503	SPT35472	0
SPT35503	SPT35529	0
SPT35503	SPT35517	0
SPT35503	SPT35516	0
SPT35503	SPT35360	0
SPT35503	SPT35515	0
SPT35503	SPT35518	0
SPT35503	SPT35475	0
SPT35503	SPT35520	0
SPT35503	SPT35324	0
SPT35503	SPT35476	0
SPT35503	SPT35485	0
SPT35503	SPT35389	0
SPT35503	SPT35487	0
SPT35503	SPT35369	0
SPT35503	SPT35370	0
SPT35503	SPT35382	0
SPT35503	SPT35521	0
SPT35503	SPT35553	0
SPT35503	SPT35532	0
SPT35503	SPT35384	0
SPT35503	SPT35522	0
SPT35503	SPT35361	0
SPT35503	SPT35342	0
SPT35503	SPT35556	0
SPT35503	SPT35557	0
SPT35503	SPT35328	0
SPT35503	SPT35592	0
SPT35503	SPT35435	0
SPT35503	SPT35304	0
SPT35503	SPT35390	0
SPT35503	SPT35436	0
SPT35503	SPT35580	0
SPT35503	SPT35538	0
SPT35503	SPT35537	0
SPT35503	SPT35320	0
SPT35503	SPT35541	0
SPT35503	SPT35673	0
SPT35503	SPT35502	0
SPT35503	SPT35330	0
SPT35503	SPT35546	0
SPT35503	SPT35547	0
SPT35503	SPT35544	0
SPT35503	SPT35362	0
SPT35503	SPT35499	0.79
SPT35503	SPT35336	0
SPT35503	SPT35577	0
SPT35503	SPT35325	0
SPT35503	SPT35331	0
SPT35503	SPT35337	0
SPT35503	SPT35306	0
SPT35503	SPT35407	0
SPT35503	SPT35346	0
SPT35503	SPT35405	0
SPT35503	SPT35410	0
SPT35503	SPT35575	0
SPT35503	SPT35576	0
SPT35503	SPT35766	0
SPT35503	SPT35347	0
SPT35503	SPT35412	0
SPT35503	SPT35414	0
SPT35503	SPT35348	0
SPT35503	SPT35417	0
SPT35503	SPT35571	0
SPT35503	SPT35349	0
SPT35503	SPT35351	0
SPT35503	SPT35418	0
SPT35503	SPT35419	0
SPT35503	SPT35566	0
SPT35503	SPT35567	0
SPT35503	SPT35420	0
SPT35503	SPT35423	0
SPT35503	SPT35564	0
SPT35503	SPT35352	0
SPT35503	SPT35424	0
SPT35503	SPT35357	0
SPT35503	SPT35437	0
SPT35503	SPT35563	0
SPT35503	SPT35308	0
SPT35503	SPT35425	0
SPT35503	SPT35440	0
SPT35503	SPT35354	0
SPT35503	SPT35309	0
SPT35503	SPT35310	0
SPT35503	SPT35355	0
SPT35503	SPT35332	0
SPT35503	SPT35333	0
SPT35503	SPT35561	0
SPT35503	SPT35363	0
SPT35503	SPT35427	0
SPT35503	SPT35752	0
SPT35503	SPT35430	0
SPT35503	SPT35431	0
SPT35503	SPT35313	0
SPT35503	SPT35780	0
SPT35503	SPT35315	0
SPT35503	SPT35316	0
SPT35503	SPT35317	0
SPT35503	SPT35334	0
SPT35503	SPT35543	0
SPT35302	SPT35508	0.24
SPT35302	SPT35365	0
SPT35302	SPT35449	0
SPT35302	SPT35523	0
SPT35302	SPT35338	0
SPT35302	SPT35339	0
SPT35302	SPT35372	0.04
SPT35302	SPT35373	0
SPT35302	SPT35587	0.6
SPT35302	SPT35303	0
SPT35302	SPT35356	0
SPT35302	SPT35448	0
SPT35302	SPT35364	0
SPT35302	SPT35366	0
SPT35302	SPT35524	0
SPT35302	SPT35321	0
SPT35302	SPT35374	0
SPT35302	SPT35318	0
SPT35302	SPT35453	0
SPT35302	SPT35509	0
SPT35302	SPT35450	0
SPT35302	SPT35525	0
SPT35302	SPT35510	0
SPT35302	SPT35340	0
SPT35302	SPT35583	0
SPT35302	SPT35584	0
SPT35302	SPT35585	0.68
SPT35302	SPT35458	0
SPT35302	SPT35500	0
SPT35302	SPT35322	0
SPT35302	SPT35377	0
SPT35302	SPT35511	0
SPT35302	SPT35323	0
SPT35302	SPT35461	0
SPT35302	SPT35462	0.43
SPT35302	SPT35463	0
SPT35302	SPT35341	0.06
SPT35302	SPT35368	0
SPT35302	SPT35378	0
SPT35302	SPT35552	0
SPT35302	SPT35551	0
SPT35302	SPT35459	0
SPT35302	SPT35474	0.38
SPT35302	SPT35514	0
SPT35302	SPT35519	0
SPT35302	SPT35526	0
SPT35302	SPT35501	0
SPT35302	SPT35681	0
SPT35302	SPT35467	0
SPT35302	SPT35469	0
SPT35302	SPT35470	0.43
SPT35302	SPT35468	0
SPT35302	SPT35471	0
SPT35302	SPT35379	0
SPT35302	SPT35472	0
SPT35302	SPT35529	0
SPT35302	SPT35517	0
SPT35302	SPT35516	0
SPT35302	SPT35360	0.11
SPT35302	SPT35515	0
SPT35302	SPT35518	0
SPT35302	SPT35475	0
SPT35302	SPT35520	0
SPT35302	SPT35324	0
SPT35302	SPT35476	0
SPT35302	SPT35485	0
SPT35302	SPT35389	0
SPT35302	SPT35487	0
SPT35302	SPT35369	0
SPT35302	SPT35370	0.02
SPT35302	SPT35382	0
SPT35302	SPT35521	0
SPT35302	SPT35553	0
SPT35302	SPT35532	0
SPT35302	SPT35384	0
SPT35302	SPT35522	0.11
SPT35302	SPT35361	0
SPT35302	SPT35342	0
SPT35302	SPT35556	0
SPT35302	SPT35557	0
SPT35302	SPT35328	0
SPT35302	SPT35592	0
SPT35302	SPT35435	0
SPT35302	SPT35304	0
SPT35302	SPT35390	0.12
SPT35302	SPT35436	0
SPT35302	SPT35580	0
SPT35302	SPT35538	0
SPT35302	SPT35537	0
SPT35302	SPT35320	0
SPT35302	SPT35541	0
SPT35302	SPT35673	0
SPT35302	SPT35502	0
SPT35302	SPT35330	0
SPT35302	SPT35546	0
SPT35302	SPT35547	0
SPT35302	SPT35544	0
SPT35302	SPT35362	0
SPT35302	SPT35499	0
SPT35302	SPT35336	0
SPT35302	SPT35577	0
SPT35302	SPT35325	0
SPT35302	SPT35331	0
SPT35302	SPT35337	0.05
SPT35302	SPT35306	0
SPT35302	SPT35407	0.88
SPT35302	SPT35346	0
SPT35302	SPT35405	0.88
SPT35302	SPT35410	0
SPT35302	SPT35575	0
SPT35302	SPT35576	0.39
SPT35302	SPT35766	0
SPT35302	SPT35347	0.11
SPT35302	SPT35412	0
SPT35302	SPT35414	0
SPT35302	SPT35348	0.05
SPT35302	SPT35417	0
SPT35302	SPT35571	0
SPT35302	SPT35349	0
SPT35302	SPT35351	0
SPT35302	SPT35418	0
SPT35302	SPT35419	0.39
SPT35302	SPT35566	0.11
SPT35302	SPT35567	0
SPT35302	SPT35420	0
SPT35302	SPT35423	0
SPT35302	SPT35564	0
SPT35302	SPT35352	0
SPT35302	SPT35424	0
SPT35302	SPT35357	0
SPT35302	SPT35437	0
SPT35302	SPT35563	0
SPT35302	SPT35308	0
SPT35302	SPT35425	0
SPT35302	SPT35440	0
SPT35302	SPT35354	0
SPT35302	SPT35309	0
SPT35302	SPT35310	0
SPT35302	SPT35355	0
SPT35302	SPT35332	0
SPT35302	SPT35333	0
SPT35302	SPT35561	0
SPT35302	SPT35363	0
SPT35302	SPT35427	0
SPT35302	SPT35752	0
SPT35302	SPT35430	0
SPT35302	SPT35431	0
SPT35302	SPT35313	0
SPT35302	SPT35780	0
SPT35302	SPT35315	0
SPT35302	SPT35316	0
SPT35302	SPT35317	0.05
SPT35302	SPT35334	0.03
SPT35302	SPT35543	0
SPT35508	SPT35365	0
SPT35508	SPT35449	0
SPT35508	SPT35523	0
SPT35508	SPT35338	0
SPT35508	SPT35339	0
SPT35508	SPT35372	0.04
SPT35508	SPT35373	0
SPT35508	SPT35587	0.28
SPT35508	SPT35303	0
SPT35508	SPT35356	0
SPT35508	SPT35448	0
SPT35508	SPT35364	0
SPT35508	SPT35366	0
SPT35508	SPT35524	0
SPT35508	SPT35321	0
SPT35508	SPT35374	0
SPT35508	SPT35318	0
SPT35508	SPT35453	0
SPT35508	SPT35509	0
SPT35508	SPT35450	0
SPT35508	SPT35525	0
SPT35508	SPT35510	0
SPT35508	SPT35340	0
SPT35508	SPT35583	0
SPT35508	SPT35584	0
SPT35508	SPT35585	0.34
SPT35508	SPT35458	0
SPT35508	SPT35500	0
SPT35508	SPT35322	0
SPT35508	SPT35377	0
SPT35508	SPT35511	0
SPT35508	SPT35323	0
SPT35508	SPT35461	0
SPT35508	SPT35462	0.38
SPT35508	SPT35463	0
SPT35508	SPT35341	0.03
SPT35508	SPT35368	0
SPT35508	SPT35378	0
SPT35508	SPT35552	0
SPT35508	SPT35551	0
SPT35508	SPT35459	0
SPT35508	SPT35474	0.56
SPT35508	SPT35514	0
SPT35508	SPT35519	0
SPT35508	SPT35526	0
SPT35508	SPT35501	0
SPT35508	SPT35681	0
SPT35508	SPT35467	0
SPT35508	SPT35469	0
SPT35508	SPT35470	0.58
