p1	p2	ibs
SPT35446	SPT35302	0.820970834594813
SPT35446	SPT35508	0.823660038356718
SPT35446	SPT35365	0.815898315343488
SPT35446	SPT35449	0.831858407079646
SPT35446	SPT35523	0.825924050632911
SPT35446	SPT35338	0.810124029444388
SPT35446	SPT35339	0.814908890115958
SPT35446	SPT35372	0.814732593340061
SPT35446	SPT35373	0.813533682936668
SPT35446	SPT35587	0.825519915403595
SPT35446	SPT35303	0.812519961673587
SPT35446	SPT35356	0.811705348133199
SPT35446	SPT35448	0.828037181150022
SPT35446	SPT35364	0.808188785800726
SPT35446	SPT35366	0.810311774795682
SPT35446	SPT35524	0.809000100897992
SPT35446	SPT35321	0.817255297679112
SPT35446	SPT35374	0.814863365937279
SPT35446	SPT35318	0.813679007364067
SPT35446	SPT35453	0.819683834778174
SPT35446	SPT35509	0.81544237012987
SPT35446	SPT35450	0.82234411731781
SPT35446	SPT35525	0.830786471067645
SPT35446	SPT35510	0.811848601206802
SPT35446	SPT35340	0.811857229280097
SPT35446	SPT35583	0.808289632916499
SPT35446	SPT35584	0.819817073170732
SPT35446	SPT35585	0.826586040791227
SPT35446	SPT35458	0.823814328960646
SPT35446	SPT35500	0.815192171895491
SPT35446	SPT35322	0.816577594030453
SPT35446	SPT35377	0.811655575720912
SPT35446	SPT35511	0.830311012055516
SPT35446	SPT35323	0.818759455370651
SPT35446	SPT35461	0.812354900575351
SPT35446	SPT35462	0.81962569549823
SPT35446	SPT35463	0.815449778136345
SPT35446	SPT35341	0.819695288063768
SPT35446	SPT35368	0.812462189957653
SPT35446	SPT35378	0.813067150635209
SPT35446	SPT35552	0.814377682403433
SPT35446	SPT35551	0.813381001021451
SPT35446	SPT35459	0.818897637795276
SPT35446	SPT35474	0.826240776306479
SPT35446	SPT35514	0.824615713065756
SPT35446	SPT35519	0.809006211180124
SPT35446	SPT35526	0.830163868096298
SPT35446	SPT35501	0.812083249141241
SPT35446	SPT35681	0.815794788931529
SPT35446	SPT35467	0.829864619114973
SPT35446	SPT35469	0.826012319499142
SPT35446	SPT35470	0.823737017243118
SPT35446	SPT35468	0.823886026068506
SPT35446	SPT35471	0.824883861846092
SPT35446	SPT35379	0.814516960511393
SPT35446	SPT35472	0.814788661353778
SPT35446	SPT35529	0.830093155123532
SPT35446	SPT35517	0.823036543508984
SPT35446	SPT35516	0.827498988263861
SPT35446	SPT35360	0.818401937046005
SPT35446	SPT35515	0.81999191429149
SPT35446	SPT35518	0.811945117029863
SPT35446	SPT35475	0.83002118430344
SPT35446	SPT35520	0.810057558315662
SPT35446	SPT35324	0.812847187152813
SPT35446	SPT35476	0.824552533117605
SPT35446	SPT35485	0.812101588586462
SPT35446	SPT35389	0.811958056059689
SPT35446	SPT35487	0.8272800645682
SPT35446	SPT35369	0.819217584190361
SPT35446	SPT35370	0.822627810829888
SPT35446	SPT35382	0.815136226034309
SPT35446	SPT35521	0.815508021390374
SPT35446	SPT35553	0.815446744068652
SPT35446	SPT35532	0.823481451284142
SPT35446	SPT35384	0.815688646904618
SPT35446	SPT35522	0.817466720451795
SPT35446	SPT35361	0.820391286809197
SPT35446	SPT35342	0.810376213592233
SPT35446	SPT35556	0.813979940026884
SPT35446	SPT35557	0.813614592886987
SPT35446	SPT35328	0.807102502017756
SPT35446	SPT35592	0.818246181854961
SPT35446	SPT35435	0.82292298362644
SPT35446	SPT35304	0.820660405937595
SPT35446	SPT35390	0.815393927166347
SPT35446	SPT35436	0.810873983739837
SPT35446	SPT35580	0.813874428981196
SPT35446	SPT35538	0.816728037874803
SPT35446	SPT35537	0.816454352441614
SPT35446	SPT35320	0.820920409070698
SPT35446	SPT35541	0.814463484292126
SPT35446	SPT35673	0.811459630845884
SPT35446	SPT35502	0.807373737373737
SPT35446	SPT35330	0.819885714285714
SPT35446	SPT35546	0.819742489270386
SPT35446	SPT35547	0.819961651024321
SPT35446	SPT35544	0.816517493897478
SPT35446	SPT35362	0.816596087920952
SPT35446	SPT35499	0.814196030781693
SPT35446	SPT35336	0.815397099097272
SPT35446	SPT35577	0.815600687076892
SPT35446	SPT35325	0.809620665107292
SPT35446	SPT35331	0.813268804194394
SPT35446	SPT35337	0.813880762634924
SPT35446	SPT35306	0.818301049233253
SPT35446	SPT35407	0.822163907953169
SPT35446	SPT35346	0.816495261141359
SPT35446	SPT35405	0.823013415892673
SPT35446	SPT35410	0.811190933926945
SPT35446	SPT35575	0.81420930467252
SPT35446	SPT35576	0.821079172970247
SPT35446	SPT35766	0.812690089145254
SPT35446	SPT35347	0.818447875668584
SPT35446	SPT35412	0.815247398598429
SPT35446	SPT35414	0.815681864649356
SPT35446	SPT35348	0.815539858728557
SPT35446	SPT35417	0.81574691732363
SPT35446	SPT35571	0.815152467777428
SPT35446	SPT35349	0.812865497076023
SPT35446	SPT35351	0.815493853327681
SPT35446	SPT35418	0.816611094270991
SPT35446	SPT35419	0.824064711830131
SPT35446	SPT35566	0.823910361842105
SPT35446	SPT35567	0.808721106288483
SPT35446	SPT35420	0.812145748987854
SPT35446	SPT35423	0.810456197012515
SPT35446	SPT35564	0.81137603556274
SPT35446	SPT35352	0.817604355716878
SPT35446	SPT35424	0.813512965964344
SPT35446	SPT35357	0.816421222513617
SPT35446	SPT35437	0.81881497930756
SPT35446	SPT35563	0.808793868495361
SPT35446	SPT35308	0.820694542877392
SPT35446	SPT35425	0.819298245614035
SPT35446	SPT35440	0.818269540045031
SPT35446	SPT35354	0.814385150812065
SPT35446	SPT35309	0.811585427389242
SPT35446	SPT35310	0.811789772727273
SPT35446	SPT35355	0.812758655496114
SPT35446	SPT35332	0.809360500302602
SPT35446	SPT35333	0.814964202883937
SPT35446	SPT35561	0.821117635148816
SPT35446	SPT35363	0.816439737771054
SPT35446	SPT35427	0.816195372750643
SPT35446	SPT35752	0.813120064790443
SPT35446	SPT35430	0.8118491557982
SPT35446	SPT35431	0.813361719383617
SPT35446	SPT35313	0.818659127625202
SPT35446	SPT35780	0.816027088036117
SPT35446	SPT35315	0.813925327951564
SPT35446	SPT35316	0.816336833602585
SPT35446	SPT35317	0.812348668280872
SPT35446	SPT35334	0.814781205888284
SPT35446	SPT35543	0.814803049555273
SPT35503	SPT35302	0.817218409366169
